Time (h),OD 600,Product (kg),Time (h).1,DO (%),Glucose Delivered (kg),Feed Delivered (kg),CER (mmol/L*hr),Vessel Weight (kg),pH,Temperature (C),Agitation (RPM),Base Weight (kg),Vessel Volume (L),Time (h).2,Glucose (g/L),Dry Cell Weight (g/L),Product Concentration (g/L),Productivity (g/L/h),Yield (%)
0.0,0.13,0.0,0.0,93.27,0.99,0.0,0.2,72.52,7.59,37.04,149.14,0.0,66.31,0.0,15.36,0.05,0.0,0.0,0.0
4.0,0.4,0.01,0.02,102.66,0.85,0.0,0.21,72.68,7.07,38.85,106.77,0.0,70.16,4.0,12.78,0.11,0.1,0.03,1.07
8.0,1.66,0.02,0.03,92.17,0.79,0.0,0.2,72.56,5.83,34.9,160.25,0.0,62.05,8.0,7.41,0.35,0.28,0.04,1.89
12.0,5.34,0.07,0.05,105.31,1.02,0.0,0.2,78.47,6.5,42.39,136.67,0.0,68.08,12.0,0.01,1.5,1.0,0.11,8.65
16.0,13.98,0.21,0.07,89.02,1.03,0.0,0.18,55.08,7.63,33.62,119.48,0.0,70.97,16.0,0.05,4.34,2.9,0.22,16.77
20.0,48.54,0.59,0.08,110.79,0.74,0.0,0.23,55.8,7.64,38.11,113.7,0.0,78.13,20.0,0.03,17.43,10.21,0.57,32.89
24.0,105.14,1.16,0.1,89.5,0.99,0.0,0.2,63.05,5.51,39.91,118.39,0.0,71.76,24.0,0.04,28.81,19.94,0.65,46.19
28.0,94.66,1.78,0.12,84.8,0.91,0.0,0.21,65.57,6.66,36.44,130.89,0.0,58.41,28.0,0.02,25.89,23.37,0.96,48.04
32.0,101.94,2.78,0.13,106.12,0.99,0.0,0.2,51.97,7.83,33.51,134.23,0.0,72.72,32.0,0.02,34.11,29.73,0.93,45.69
36.0,100.93,3.41,0.15,111.96,0.95,0.0,0.23,67.14,7.95,39.24,130.71,0.0,71.77,36.0,0.02,30.15,30.13,0.83,35.83
40.0,80.43,4.46,0.17,107.79,0.92,0.0,0.21,72.58,5.97,37.76,155.87,0.0,57.48,40.0,0.02,35.38,36.85,0.79,45.39
44.0,120.45,5.44,0.18,111.3,0.93,0.0,0.25,75.51,6.35,33.34,124.78,0.0,73.67,44.0,0.02,33.59,42.76,0.79,37.46
48.0,116.24,5.88,0.2,100.81,1.01,0.0,0.2,74.65,7.43,36.43,141.4,0.0,67.84,48.0,0.02,40.24,48.06,0.95,38.36
52.0,118.07,6.39,0.22,112.83,1.08,0.0,0.19,57.24,7.03,38.71,126.79,0.0,70.25,52.0,0.02,43.86,61.23,0.97,44.05
56.0,122.29,8.9,0.23,84.05,0.86,0.0,0.22,56.16,7.54,38.67,152.82,0.0,70.95,56.0,0.02,40.9,57.8,1.05,38.22
60.0,125.91,9.51,0.25,95.08,0.9,0.0,0.25,66.44,8.35,33.24,115.87,0.0,66.85,60.0,0.02,47.63,65.47,1.08,45.93
64.0,142.96,11.83,0.27,88.21,0.95,0.0,0.2,74.98,6.47,40.37,121.53,0.0,73.43,64.0,0.02,41.88,64.48,1.16,37.22
,,,0.28,101.81,0.94,0.0,0.26,63.02,7.33,42.29,136.79,0.0,66.7,,,,,,
,,,0.3,92.19,0.87,0.0,0.24,70.06,6.38,35.79,131.84,0.0,68.71,,,,,,
,,,0.32,94.22,1.1,0.0,0.25,63.8,7.11,36.8,118.68,0.0,62.66,,,,,,
,,,0.33,119.59,1.06,0.0,0.26,74.04,7.61,31.32,134.92,0.0,72.35,,,,,,
,,,0.35,111.74,0.87,0.0,0.23,64.78,6.26,37.99,149.12,0.0,67.18,,,,,,
,,,0.37,109.15,1.05,0.0,0.22,64.45,6.68,41.11,128.08,0.0,65.92,,,,,,
,,,0.38,86.55,1.11,0.0,0.26,50.92,8.54,37.01,135.29,0.0,51.85,,,,,,
,,,0.4,97.24,0.89,0.0,0.24,62.48,6.82,35.27,128.03,0.0,70.5,,,,,,
